id,province_id,district_id,sub_district_id,INQUIRE_NO,INQUIRE_ID,HH_CATS,latitude,longitude,FCS,CSI,HFIAS,HH_SIZE,HOH_EDU,HOH_AGE,HOH_GENDER,DEPEND_RATIO,GROUPS_MEMBER,WELFARE_TOTAL,WORKFORCE_TOTAL,EXPENSE_MONTHLY,DEBT_TOTAL,INCOME_MONTHLY,ASSETS_LAND,ASSETS_TOTAL,WATER_CROP,CHEM_TOTAL,DISASTER_OCC,FOODSRC_NATURAL,WATER_CONSUME,SANITATION_TYPE,COVID_AFFECTS,FOODSRC_BUY,FOODSAF_RATIO,SELF_COOK_DAYS,COOK_DONE_DAY,FOOD_STOCKS,FOODSRC_DIST,fcs_score,hfias_score,hfias_d1,hfias_d2,hfias_d3
12,52,5212,521207,52-360,360,0,18.369886,099.372302,2,7,1,7,4,72,1,1,5,4,0,16900,300000,33000,1,4,0,1,1,1,2,3,5,1,0.2500,3,7,1,4.00,68,0,0,0,0
13,52,5212,521207,52-361,361,0,18.373635,099.362804,2,49,3,3,3,67,2,1,3,2,0,24700,350000,9833,1,0,1,2,1,0,4,2,4,1,0.5000,7,7,2,5.00,88,14,1,1,1
14,52,5212,521207,52-362,362,0,18.405169,099.364013,2,5,1,4,3,77,1,1,3,3,0,6600,120000,8800,1,5,1,0,1,3,1,5,4,2,0.5000,0,7,1,0.50,111,0,0,0,0
15,52,5212,521207,52-363,363,0,18.406572,099.363299,2,69,3,6,3,63,1,1,3,4,0,16000,300000,16000,2,6,0,3,3,2,1,5,5,2,0.2083,1,7,1,1.00,56,13,1,1,1
16,52,5213,521301,52-393,393,0,18.765716,099.504939,2,2,1,4,7,49,2,0,0,3,4,7000,0,10000,1,5,1,0,1,0,0,2,0,1,0.7083,4,7,1,1.00,77,0,0,0,0
17,52,5213,521301,52-394,394,0,18.758071,099.501311,2,2,1,4,5,57,2,0,2,2,4,41300,50000,75000,1,6,1,0,1,3,0,2,1,1,0.8333,7,7,1,1.00,90,1,1,0,0
18,52,5213,521301,52-395,395,0,18.756116,099.498045,2,2,2,4,1,60,2,1,2,2,0,10000,50000,30000,1,3,0,0,1,2,0,2,1,1,0.8750,0,7,1,0.50,96,2,1,0,0
20,52,5201,520106,52-081,81,0,18.279947,099.468233,2,18,1,1,3,67,2,1,1,2,0,1300,0,800,1,4,1,0,1,0,0,3,0,1,0.5833,2,5,2,1.00,82,0,0,0,0
21,52,5201,520106,52-082,82,0,18.279189,099.464232,2,17,2,2,4,50,2,0,3,2,2,12800,200000,1300,1,3,1,0,1,0,0,3,1,1,0.5833,2,5,3,1.00,78,1,0,1,0
22,52,5201,520106,52-083,83,0,18.271994,099.466102,2,11,1,2,3,70,2,1,3,3,0,7200,0,13600,1,4,1,0,1,0,0,3,1,1,0.5417,0,5,1,1.00,74,0,0,0,0
